 ,Label,Area,Mean,StdDev,Min,Max
1,mask,443,255,0,255,255
2,mask,300,255,0,255,255
3,mask,290,255,0,255,255
4,mask,424,255,0,255,255
5,mask,310,255,0,255,255
6,mask,361,255,0,255,255
7,mask,466,255,0,255,255
8,mask,306,255,0,255,255
9,mask,414,255,0,255,255
10,mask,273,255,0,255,255
11,mask,296,255,0,255,255
12,mask,296,255,0,255,255
13,mask,273,255,0,255,255
14,mask,377,255,0,255,255
15,mask,330,255,0,255,255
16,mask,293,255,0,255,255
17,mask,411,255,0,255,255
18,mask,343,255,0,255,255
19,mask,393,255,0,255,255
20,mask,107,255,0,255,255
21,mask,289,255,0,255,255
22,mask,421,255,0,255,255
23,mask,292,255,0,255,255
24,mask,329,255,0,255,255
25,mask,285,255,0,255,255
26,mask,322,255,0,255,255
27,mask,349,255,0,255,255
28,mask,388,255,0,255,255
29,mask,307,255,0,255,255
30,mask,395,255,0,255,255
31,mask,300,255,0,255,255
32,mask,268,255,0,255,255
33,mask,381,255,0,255,255
34,mask,480,255,0,255,255
35,mask,340,255,0,255,255
36,mask,320,255,0,255,255
37,mask,314,255,0,255,255
38,mask,343,255,0,255,255
39,mask,298,255,0,255,255
40,mask,363,255,0,255,255
41,mask,298,255,0,255,255
42,mask,267,255,0,255,255
43,mask,300,255,0,255,255
44,mask,376,255,0,255,255
45,mask,488,255,0,255,255
46,mask,355,255,0,255,255
47,mask,290,255,0,255,255
48,mask,384,255,0,255,255
49,mask,358,255,0,255,255
50,mask,404,255,0,255,255
51,mask,277,255,0,255,255
52,mask,274,255,0,255,255
53,mask,433,255,0,255,255
54,mask,303,255,0,255,255
55,mask,303,255,0,255,255
56,mask,303,255,0,255,255
57,mask,344,255,0,255,255
58,mask,347,255,0,255,255
59,mask,484,255,0,255,255
60,mask,196,255,0,255,255
61,mask,352,255,0,255,255
62,mask,211,255,0,255,255
63,mask,154,255,0,255,255
64,mask,487,255,0,255,255
65,mask,306,255,0,255,255
66,mask,351,255,0,255,255
67,mask,295,255,0,255,255
68,mask,253,255,0,255,255
69,mask,354,255,0,255,255
70,mask,486,255,0,255,255
71,mask,294,255,0,255,255
72,mask,253,255,0,255,255
73,mask,333,255,0,255,255
74,mask,350,255,0,255,255
75,mask,265,255,0,255,255
76,mask,227,255,0,255,255
77,mask,325,255,0,255,255
78,mask,259,255,0,255,255
79,mask,278,255,0,255,255
80,mask,469,255,0,255,255
81,mask,285,255,0,255,255
82,mask,308,255,0,255,255
83,mask,347,255,0,255,255
84,mask,377,255,0,255,255
85,mask,234,255,0,255,255
86,mask,356,255,0,255,255
87,mask,351,255,0,255,255
88,mask,332,255,0,255,255
89,mask,341,255,0,255,255
90,mask,220,255,0,255,255
91,mask,293,255,0,255,255
92,mask,299,255,0,255,255
93,mask,461,255,0,255,255
94,mask,346,255,0,255,255
95,mask,493,255,0,255,255
96,mask,314,255,0,255,255
97,mask,311,255,0,255,255
98,mask,354,255,0,255,255
99,mask,291,255,0,255,255
100,mask,356,255,0,255,255
101,mask,315,255,0,255,255
102,mask,219,255,0,255,255
103,mask,296,255,0,255,255
104,mask,278,255,0,255,255
105,mask,275,255,0,255,255
106,mask,354,255,0,255,255
107,mask,196,255,0,255,255
108,mask,376,255,0,255,255
109,mask,324,255,0,255,255
110,mask,228,255,0,255,255
111,mask,375,255,0,255,255
112,mask,356,255,0,255,255
113,mask,421,255,0,255,255
114,mask,293,255,0,255,255
115,mask,397,255,0,255,255
116,mask,454,255,0,255,255
117,mask,335,255,0,255,255
118,mask,321,255,0,255,255
119,mask,403,255,0,255,255
120,mask,236,255,0,255,255
121,mask,235,255,0,255,255
122,mask,282,255,0,255,255
123,mask,342,255,0,255,255
124,mask,304,255,0,255,255
125,mask,424,255,0,255,255
126,mask,325,255,0,255,255
127,mask,325,255,0,255,255
128,mask,427,255,0,255,255
129,mask,385,255,0,255,255
130,mask,307,255,0,255,255
131,mask,346,255,0,255,255
132,mask,278,255,0,255,255
133,mask,288,255,0,255,255
134,mask,427,255,0,255,255
135,mask,346,255,0,255,255
136,mask,376,255,0,255,255
137,mask,318,255,0,255,255
138,mask,250,255,0,255,255
139,mask,477,255,0,255,255
140,mask,357,255,0,255,255
141,mask,275,255,0,255,255
142,mask,271,255,0,255,255
143,mask,126,255,0,255,255
144,mask,241,255,0,255,255
145,mask,380,255,0,255,255
146,mask,145,255,0,255,255
147,mask,308,255,0,255,255
148,mask,269,255,0,255,255
149,mask,436,255,0,255,255
150,mask,340,255,0,255,255
151,mask,314,255,0,255,255
152,mask,328,255,0,255,255
153,mask,326,255,0,255,255
154,mask,277,255,0,255,255
155,mask,267,255,0,255,255
156,mask,334,255,0,255,255
157,mask,356,255,0,255,255
158,mask,321,255,0,255,255
159,mask,302,255,0,255,255
160,mask,420,255,0,255,255
161,mask,259,255,0,255,255
162,mask,406,255,0,255,255
163,mask,386,255,0,255,255
164,mask,316,255,0,255,255
165,mask,337,255,0,255,255
166,mask,372,255,0,255,255
167,mask,402,255,0,255,255
168,mask,421,255,0,255,255
169,mask,472,255,0,255,255
170,mask,256,255,0,255,255
171,mask,203,255,0,255,255
172,mask,441,255,0,255,255
173,mask,377,255,0,255,255
174,mask,335,255,0,255,255
175,mask,277,255,0,255,255
176,mask,432,255,0,255,255
177,mask,300,255,0,255,255
178,mask,337,255,0,255,255
179,mask,240,255,0,255,255
180,mask,316,255,0,255,255
181,mask,323,255,0,255,255
182,mask,374,255,0,255,255
183,mask,300,255,0,255,255
184,mask,329,255,0,255,255
185,mask,292,255,0,255,255
186,mask,316,255,0,255,255
187,mask,472,255,0,255,255
188,mask,65,255,0,255,255
189,mask,294,255,0,255,255
190,mask,176,255,0,255,255
191,mask,214,255,0,255,255
192,mask,385,255,0,255,255
193,mask,308,255,0,255,255
194,mask,249,255,0,255,255
195,mask,354,255,0,255,255
196,mask,389,255,0,255,255
197,mask,191,255,0,255,255
198,mask,301,255,0,255,255
199,mask,260,255,0,255,255
200,mask,403,255,0,255,255
201,mask,318,255,0,255,255
202,mask,375,255,0,255,255
203,mask,331,255,0,255,255
204,mask,174,255,0,255,255
205,mask,280,255,0,255,255
206,mask,297,255,0,255,255
207,mask,433,255,0,255,255
208,mask,347,255,0,255,255
209,mask,216,255,0,255,255
210,mask,258,255,0,255,255
211,mask,358,255,0,255,255
212,mask,391,255,0,255,255
213,mask,273,255,0,255,255
214,mask,374,255,0,255,255
215,mask,381,255,0,255,255
216,mask,318,255,0,255,255
217,mask,462,255,0,255,255
218,mask,400,255,0,255,255
219,mask,409,255,0,255,255
220,mask,192,255,0,255,255
221,mask,193,255,0,255,255
222,mask,301,255,0,255,255
223,mask,338,255,0,255,255
224,mask,381,255,0,255,255
225,mask,337,255,0,255,255
226,mask,360,255,0,255,255
227,mask,244,255,0,255,255
228,mask,140,255,0,255,255
229,mask,428,255,0,255,255
230,mask,387,255,0,255,255
231,mask,441,255,0,255,255
232,mask,288,255,0,255,255
233,mask,318,255,0,255,255
234,mask,410,255,0,255,255
235,mask,357,255,0,255,255
236,mask,303,255,0,255,255
237,mask,306,255,0,255,255
238,mask,171,255,0,255,255
239,mask,268,255,0,255,255
240,mask,237,255,0,255,255
241,mask,488,255,0,255,255
242,mask,253,255,0,255,255
243,mask,260,255,0,255,255
244,mask,403,255,0,255,255
245,mask,337,255,0,255,255
246,mask,287,255,0,255,255
247,mask,376,255,0,255,255
248,mask,238,255,0,255,255
249,mask,268,255,0,255,255
250,mask,429,255,0,255,255
251,mask,329,255,0,255,255
252,mask,365,255,0,255,255
253,mask,277,255,0,255,255
254,mask,222,255,0,255,255
255,mask,460,255,0,255,255
256,mask,240,255,0,255,255
257,mask,447,255,0,255,255
258,mask,277,255,0,255,255
259,mask,476,255,0,255,255
260,mask,353,255,0,255,255
261,mask,259,255,0,255,255
262,mask,392,255,0,255,255
263,mask,347,255,0,255,255
264,mask,348,255,0,255,255
265,mask,325,255,0,255,255
266,mask,280,255,0,255,255
267,mask,479,255,0,255,255
268,mask,321,255,0,255,255
269,mask,235,255,0,255,255
270,mask,245,255,0,255,255
271,mask,181,255,0,255,255
272,mask,228,255,0,255,255
273,mask,428,255,0,255,255
274,mask,159,255,0,255,255
275,mask,410,255,0,255,255
276,mask,214,255,0,255,255
277,mask,288,255,0,255,255
278,mask,259,255,0,255,255
279,mask,361,255,0,255,255
280,mask,397,255,0,255,255
281,mask,277,255,0,255,255
282,mask,378,255,0,255,255
283,mask,338,255,0,255,255
284,mask,278,255,0,255,255
285,mask,392,255,0,255,255
286,mask,450,255,0,255,255
287,mask,450,255,0,255,255
288,mask,387,255,0,255,255
289,mask,276,255,0,255,255
290,mask,336,255,0,255,255
291,mask,223,255,0,255,255
292,mask,263,255,0,255,255
293,mask,470,255,0,255,255
294,mask,218,255,0,255,255
295,mask,274,255,0,255,255
296,mask,283,255,0,255,255
297,mask,445,255,0,255,255
298,mask,386,255,0,255,255
299,mask,429,255,0,255,255
300,mask,438,255,0,255,255
301,mask,222,255,0,255,255
302,mask,478,255,0,255,255
303,mask,319,255,0,255,255
304,mask,412,255,0,255,255
305,mask,349,255,0,255,255
306,mask,386,255,0,255,255
307,mask,458,255,0,255,255
308,mask,249,255,0,255,255
309,mask,307,255,0,255,255
310,mask,333,255,0,255,255
311,mask,223,255,0,255,255
312,mask,408,255,0,255,255
313,mask,220,255,0,255,255
314,mask,321,255,0,255,255
315,mask,220,255,0,255,255
316,mask,363,255,0,255,255
317,mask,244,255,0,255,255
318,mask,323,255,0,255,255
319,mask,299,255,0,255,255
320,mask,249,255,0,255,255
321,mask,342,255,0,255,255
322,mask,321,255,0,255,255
323,mask,423,255,0,255,255
324,mask,406,255,0,255,255
325,mask,278,255,0,255,255
326,mask,180,255,0,255,255
327,mask,217,255,0,255,255
328,mask,479,255,0,255,255
329,mask,285,255,0,255,255
330,mask,232,255,0,255,255
331,mask,360,255,0,255,255
332,mask,320,255,0,255,255
333,mask,282,255,0,255,255
334,mask,400,255,0,255,255
335,mask,215,255,0,255,255
336,mask,491,255,0,255,255
337,mask,281,255,0,255,255
338,mask,315,255,0,255,255
339,mask,370,255,0,255,255
340,mask,386,255,0,255,255
341,mask,282,255,0,255,255
342,mask,390,255,0,255,255
343,mask,352,255,0,255,255
